Src	L_bol	L_bol_upl	L_bol_lol	M_env	M_env_upl	M_env_lol	R_out	R_out_upl	R_out_lol	p_rho	p_rho_upl	p_rho_lol	n_1000AU	n_1000AU_upl	n_1000AU_lol	n_10K	T_dust	ms	clr
IRAS05358+3543	6300	6300	3150	142	142	71	54000	54000	27000	1.5	0.1	0.1	6.45E+06	2.52E+06	4.62E+06	...	...	+50	tab:red
IRAS16272-4837	24000	24000	12000	2170	2170	1085	170000	170000	85000	1.5	0.1	0.1	1.76E+07	9.88E+06	1.13E+07	...	...	+50	tab:red
NGC6334I(N)	1900	1900	950	3826	3826	1913	72000	72000	36000	1.3	0.1	0.1	5.44E+07	2.41E+07	3.75E+07	...	...	+50	tab:red
W43-MM1	23000	23000	11500	7550	7550	3775	147000	147000	73500	1.5	0.1	0.1	7.63E+07	4.10E+07	4.94E+07	...	...	+50	tab:red
DR21(OH)	13000	13000	6500	472	472	236	50000	50000	25000	1.35	0.1	0.1	1.47E+07	5.73E+06	1.06E+07	...	...	+50	tab:red
W3-IRS5	170000	170000	85000	424	424	212	113000	113000	56500	1.4	0.1	0.1	4.23E+06	2.13E+06	2.80E+06	...	...	+50	tab:red
IRAS18089-1732	13000	13000	6500	172	172	86	39000	39000	19500	1.9	0.1	0.1	4.04E+07	1.26E+07	3.06E+07	...	...	+50	tab:red
W33A	44000	44000	22000	700	700	350	71000	71000	35500	1.2	0.1	0.1	7.04E+06	3.14E+06	4.85E+06	...	...	+50	tab:red
IRAS18151-1208	20000	20000	10000	153	153	76.5	50000	50000	25000	1.4	0.1	0.1	5.62E+06	2.17E+06	4.04E+06	...	...	+50	tab:red
G327-0.6	50000	50000	25000	2044	2044	1022	80000	80000	40000	1.2	0.1	0.1	1.66E+07	7.69E+06	1.13E+07	...	...	+50	tab:red
NGC6334I	260000	260000	130000	750	750	375	68000	68000	34000	1.5	0.1	0.1	2.41E+07	1.02E+07	1.69E+07	...	...	+50	tab:red
G29.96-0.02	350000	350000	175000	768	768	384	96000	96000	48000	1.4	0.1	0.1	9.94E+06	4.77E+06	6.69E+06	...	...	+50	tab:red
G31.41+0.31	230000	230000	115000	2968	2968	1484	119000	119000	59500	1.4	0.1	0.1	2.72E+07	1.39E+07	1.80E+07	...	...	+50	tab:red
G5.89-0.39_W28A	51000	51000	25500	140	140	70	36000	36000	18000	1.3	0.1	0.1	6.46E+06	2.24E+06	4.78E+06	...	...	+50	tab:red
G10.47+0.03	370000	370000	185000	1168	1168	584	60000	60000	30000	1.4	0.1	0.1	3.21E+07	1.32E+07	2.26E+07	...	...	+50	tab:red
G34.26+0.15	320000	320000	160000	1792	1792	896	81000	81000	40500	1.4	0.1	0.1	3.04E+07	1.38E+07	2.08E+07	...	...	+50	tab:red
